<div class="word_wrap"><h2 class="word">divulge</h2></div>	<div class="content"><div class="eng"><div class="icon_eng">英</div><div class="content_eng"> v. to make known (something private or secret)</div></div><div class="cn"><div class="icon_cn">中</div><div class="content_cn"> 泄露</div></div><div class="opp"><div class="icon_opp">反</div><div class="content_opp"> keep secret</div></div></div>
<div class="word_wrap"><h2 class="word">inadvertent</h2></div>	<div class="content"><div class="eng"><div class="icon_eng">英</div><div class="content_eng"> adj. marked by or resulting from carelessness; negligent</div></div><div class="cn"><div class="icon_cn">中</div><div class="content_cn"> 粗心的，不留意的</div></div><div class="opp"><div class="icon_opp">反</div><div class="content_opp"> careful, intentional</div></div><div class="derive"><div class="icon_derive">派</div><div class="content_derive"> advertent adj. 注意的，小心的</div></div><div class="eng"><div class="icon_eng">英</div><div class="content_eng"> adj. not deliberate or considered; unintentional</div></div><div class="cn"><div class="icon_cn">中</div><div class="content_cn"> 不故意的</div></div></div>
<div class="word_wrap"><h2 class="word">panegyric</h2></div>	<div class="content"><div class="eng"><div class="icon_eng">英</div><div class="content_eng"> n. a formal eulogistic composition intended as a public compliment</div></div><div class="cn"><div class="icon_cn">中</div><div class="content_cn"> 赞文；赞美</div></div><div class="derive"><div class="icon_derive">派</div><div class="content_derive"> panegyrical adj. 赞美的</div></div></div>
<div class="word_wrap"><h2 class="word">draconian</h2></div>	<div class="content"><div class="eng"><div class="icon_eng">英</div><div class="content_eng"> adj. exceedingly harsh or very severe</div></div><div class="cn"><div class="icon_cn">中</div><div class="content_cn"> 极其严苛的</div></div></div>
<div class="word_wrap"><h2 class="word">hodgepodge</h2></div>	<div class="content"><div class="eng"><div class="icon_eng">英</div><div class="content_eng"> n. a mixture of different things</div></div><div class="cn"><div class="icon_cn">中</div><div class="content_cn"> 混杂，混合物</div></div><div class="cho"><div class="icon_cho">选</div><div class="content_cho"> patchwork, welter</div></div></div>
<div class="word_wrap"><h2 class="word">incontrovertible</h2></div>	<div class="content"><div class="eng"><div class="icon_eng">英</div><div class="content_eng"> adj. impossible to dispute</div></div><div class="cn"><div class="icon_cn">中</div><div class="content_cn"> 不容质疑的</div></div><div class="derive"><div class="icon_derive">派</div><div class="content_derive"> controvert v. 反驳，争论</div></div></div>
<div class="word_wrap"><h2 class="word">impartial</h2></div>	<div class="content"><div class="eng"><div class="icon_eng">英</div><div class="content_eng"> adj. not partial or biased</div></div><div class="cn"><div class="icon_cn">中</div><div class="content_cn"> 公正的，不偏不倚的</div></div><div class="cho"><div class="icon_cho">选</div><div class="content_cho"> disinterested, fair; detachment</div></div><div class="derive"><div class="icon_derive">派</div><div class="content_derive"> partial adj. 有偏见的，偏袒的</div></div></div>
<div class="word_wrap"><h2 class="word">endemic</h2></div>	<div class="content"><div class="eng"><div class="icon_eng">英</div><div class="content_eng"> adj. prevalent in or limited to a particular locality, region, or people</div></div><div class="cn"><div class="icon_cn">中</div><div class="content_cn"> 地方性的，流行的</div></div><div class="cho"><div class="icon_cho">选</div><div class="content_cho"> native</div></div><div class="opp"><div class="icon_opp">反</div><div class="content_opp"> exotic</div></div><div class="eng"><div class="icon_eng">英</div><div class="content_eng"> adj. common in or inherent to an enterprise or situation</div></div><div class="cn"><div class="icon_cn">中</div><div class="content_cn"> （问题、情形）常见的</div></div></div>
<div class="word_wrap"><h2 class="word">minuscule</h2></div>	<div class="content"><div class="eng"><div class="icon_eng">英</div><div class="content_eng"> adj. very small and tiny</div></div><div class="cn"><div class="icon_cn">中</div><div class="content_cn"> 微小的</div></div><div class="cho"><div class="icon_cho">选</div><div class="content_cho"> diminutive</div></div></div>
<div class="word_wrap"><h2 class="word">lucrative</h2></div>	<div class="content"><div class="eng"><div class="icon_eng">英</div><div class="content_eng"> adj. producing wealth</div></div><div class="cn"><div class="icon_cn">中</div><div class="content_cn"> 盈利的，赚钱的</div></div></div>
<div class="word_wrap"><h2 class="word">compensate</h2></div>	<div class="content"><div class="eng"><div class="icon_eng">英</div><div class="content_eng"> v. to offset an error, defect, or undesired effect</div></div><div class="cn"><div class="icon_cn">中</div><div class="content_cn"> 弥补</div></div><div class="eng"><div class="icon_eng">英</div><div class="content_eng"> v. to serve as or provide a substitute or counter balance</div></div><div class="cn"><div class="icon_cn">中</div><div class="content_cn"> 抵消</div></div><div class="cho"><div class="icon_cho">选</div><div class="content_cho"> offset</div></div></div>
<div class="word_wrap"><h2 class="word">discursive</h2></div>	<div class="content"><div class="eng"><div class="icon_eng">英</div><div class="content_eng"> adj. moving from topic to topic without order; rambling</div></div><div class="cn"><div class="icon_cn">中</div><div class="content_cn"> 杂乱无章的</div></div><div class="eng"><div class="icon_eng">英</div><div class="content_eng"> adj. marked by analytical reasoning</div></div><div class="cn"><div class="icon_cn">中</div><div class="content_cn"> 理性的</div></div></div>
<div class="word_wrap"><h2 class="word">presuppose</h2></div>	<div class="content"><div class="eng"><div class="icon_eng">英</div><div class="content_eng"> v. to suppose beforehand</div></div><div class="cn"><div class="icon_cn">中</div><div class="content_cn"> 预先假设</div></div><div class="eng"><div class="icon_eng">英</div><div class="content_eng"> v. to require as an antecedent in logic or fact</div></div><div class="cn"><div class="icon_cn">中</div><div class="content_cn"> 假定</div></div></div>
<div class="word_wrap"><h2 class="word">intermediary</h2></div>	<div class="content"><div class="eng"><div class="icon_eng">英</div><div class="content_eng"> n. / adj. acting as a mediator</div></div><div class="cn"><div class="icon_cn">中</div><div class="content_cn"> （作为）中间人（的）</div></div></div>
<div class="word_wrap"><h2 class="word">derogate</h2></div>	<div class="content"><div class="eng"><div class="icon_eng">英</div><div class="content_eng"> v. to cause to seem inferior</div></div><div class="cn"><div class="icon_cn">中</div><div class="content_cn"> 贬低</div></div><div class="derive"><div class="icon_derive">派</div><div class="content_derive"> derogatory adj. 贬低的</div></div></div>
<div class="word_wrap"><h2 class="word">overbearing</h2></div>	<div class="content"><div class="eng"><div class="icon_eng">英</div><div class="content_eng"> adj. often trying to control the behavior of other people in an annoying or unwanted way</div></div><div class="cn"><div class="icon_cn">中</div><div class="content_cn"> 专横傲慢的</div></div></div>
<div class="word_wrap"><h2 class="word">zealous</h2></div>	<div class="content"><div class="eng"><div class="icon_eng">英</div><div class="content_eng"> adj. marked by fervent partisanship for a person, a cause, or an ideal</div></div><div class="cn"><div class="icon_cn">中</div><div class="content_cn"> 对（某人或偶像）狂热的</div></div><div class="cho"><div class="icon_cho">选</div><div class="content_cho"> impassioned, fervent, ﬁery</div></div><div class="derive"><div class="icon_derive">派</div><div class="content_derive"> zealotry n. 狂热</div></div></div>
